instance,depth,seed,train_acc,val_acc,test_acc,train_time
breast-cancer,2,37,0.7753623188405797,0.8260869565217391,0.7285714285714285,0.0004894733428955078
breast-cancer,2,42,0.7898550724637681,0.6811594202898551,0.7285714285714285,0.0003688335418701172
breast-cancer,2,53,0.7971014492753623,0.7971014492753623,0.6714285714285714,0.0003459453582763672
breast-cancer,3,37,0.7971014492753623,0.782608695652174,0.7428571428571429,0.0003783702850341797
breast-cancer,3,42,0.8260869565217391,0.6956521739130435,0.7285714285714285,0.0003819465637207031
breast-cancer,3,53,0.8405797101449275,0.6811594202898551,0.7142857142857143,0.00037479400634765625
breast-cancer,4,37,0.8260869565217391,0.7681159420289855,0.7142857142857143,0.0004088878631591797
breast-cancer,4,42,0.8695652173913043,0.7101449275362319,0.7428571428571429,0.0004127025604248047
breast-cancer,4,53,0.855072463768116,0.6956521739130435,0.6857142857142857,0.0004100799560546875
breast-cancer,5,37,0.8623188405797102,0.7681159420289855,0.6571428571428571,0.0004382133483886719
breast-cancer,5,42,0.9057971014492754,0.7246376811594203,0.7428571428571429,0.00043654441833496094
breast-cancer,5,53,0.8840579710144928,0.7101449275362319,0.6857142857142857,0.00043392181396484375
